B;B;B;B;B;B;B;B;B;B;;;;;;;;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
B;G;G;G;G;G;G;G;U;B;;;;;;;;B;K;W;E4;G;G;G;G;W;G;G;G;G;G;N;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;E3;B
B;N;G;G;G;G;E4;G;G;B;;;;;;;;B;G;W;G;G;G;G;F;W;G;G;G;G;G;G;G;G;G;G;G;U;B;B;B;W;G;W;G;G;G;G;G;B
B;U;G;G;G;G;G;G;G;B;B;B;B;B;B;B;;B;G;W;G;G;W;W;W;W;G;G;G;W;W;W;W;W;W;W;W;W;B;;B;W;W;W;G;G;G;G;N;B
B;G;G;G;G;G;G;G;G;G;G;G;G;N;G;B;;B;G;W;G;G;W;U;G;G;G;E1;G;W;U;G;G;G;G;G;G;G;B;;B;G;G;G;G;G;G;G;G;B
B;G;G;G;G;G;G;G;G;G;G;G;G;G;G;B;;B;G;W;G;G;W;W;G;G;G;G;G;W;G;G;G;G;G;E1;G;G;B;;B;E5;G;G;G;G;G;G;G;B
B;G;G;G;G;G;G;G;G;W;G;G;G;G;G;B;;B;G;W;G;G;N;W;W;G;G;G;G;W;G;G;G;N;G;G;G;G;B;;B;G;G;U;G;G;G;G;G;B
B;G;G;G;G;G;G;G;G;W;G;G;G;G;G;B;B;B;G;W;G;G;G;G;W;W;N;G;G;W;G;G;G;G;G;G;G;G;B;;B;G;G;G;G;G;G;G;G;B
B;G;G;W;G;G;G;G;G;W;G;G;E5;G;G;G;G;G;G;W;N;G;G;G;G;W;W;G;G;W;G;G;G;G;G;G;G;G;B;B;B;G;G;G;G;G;G;G;G;B
B;G;G;W;G;W;W;G;G;W;G;G;G;G;E5;G;G;G;U;W;G;G;G;G;G;G;W;W;G;W;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;E5;N;B
B;G;G;G;E3;G;G;G;G;W;G;G;G;G;G;G;G;G;G;W;G;G;G;G;G;G;U;W;G;W;G;G;G;G;G;G;G;G;B;B;B;B;B;B;B;B;B;B;B;B
B;G;W;W;G;W;G;G;G;W;W;W;W;W;W;W;W;W;W;W;W;W;W;L;W;W;W;W;G;W;G;G;G;G;G;G;G;N;B;;;;;;;;;;;
B;G;G;G;G;W;G;G;G;G;G;G;G;G;G;G;G;G;G;W;G;G;G;G;G;G;N;W;G;W;G;G;G;G;G;G;G;G;B;;;;;;;;;;;
B;G;G;G;G;G;G;G;G;G;G;G;G;U;G;G;G;G;G;W;G;G;G;G;G;G;G;W;G;W;N;G;G;W;W;W;G;G;B;;;;;;;;;;;
B;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;W;W;G;W;W;W;W;L;W;W;W;W;G;W;W;G;G;G;E3;G;G;G;B;B;B;B;B;B;B;B;B;B;B;B
B;G;G;G;G;G;G;G;G;G;G;E1;G;G;G;G;W;G;G;G;G;G;G;G;G;N;G;G;G;G;W;G;G;G;G;G;G;G;U;G;G;G;G;G;E2;G;G;G;G;B
B;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;W;G;G;G;G;G;G;G;G;G;G;G;G;G;W;G;G;G;G;G;G;G;G;G;G;G;N;G;G;G;G;W;G;B
B;G;E4;G;G;G;G;G;G;G;G;G;G;G;G;G;W;N;G;G;G;G;G;G;G;G;G;G;G;G;W;G;G;G;G;G;G;G;G;G;G;G;G;G;E2;G;G;W;G;B
B;W;G;W;W;W;W;W;W;W;W;W;W;W;W;W;W;G;G;G;G;G;G;G;G;G;G;G;G;G;W;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;E4;W;K;B
B;G;G;G;G;N;G;G;G;E2;G;G;G;G;G;U;W;G;G;G;G;G;G;G;G;G;G;G;G;G;W;G;G;G;G;G;G;G;G;G;G;G;G;G;E2;G;G;W;G;B
B;G;G;G;G;G;G;G;G;G;G;G;U;G;G;G;W;G;G;G;G;G;G;G;G;G;G;G;G;G;W;U;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;W;G;B
B;N;G;G;G;G;G;G;G;E2;G;G;G;G;G;G;W;G;G;G;G;G;G;P;G;G;G;G;G;G;W;G;G;G;G;G;N;G;G;G;G;G;G;G;E2;G;G;G;G;B
B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
